"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\App.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 0, 12, 111
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\assets\fonts\example.html", "HTML", 0, 0, 0, 29, 0, 0, 4, 33
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\assets\fonts\font.css", "CSS", 0, 108, 0, 0, 0, 1, 35, 144
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\auth.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 1, 8, 41
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\BreakEvenChart.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 5, 48
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\ComparativeMontlyInvestmentGrowthChart.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 1, 5, 58
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\ComparativePercentageGrowthChart.tsx", "TypeScript JSX", 65, 0, 0, 0, 0, 3, 10, 78
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\ComparativeTotalEquityGrowth.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 1, 6, 56
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\CompleteAnalysisChart.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\FinalEquityDivisionChart.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 1, 9, 66
"c:\Users\User\Desktop\projects\parisotto-imoveis\calculo-imobiliario\src\components\charts\InitialEquityDivisionChart.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 1, 10, 116
